id,question,option_a,option_b,option_c,option_d,correct_answer,explanation,topic,source_image
745,Hindi Diwas commemorates the adoption of Hindi as one of India's...,National anthems,Official languages,Classical dances,Historical monuments,B,Hindi Diwas commemorates the adoption of Hindi as one of India's official languages.,Hindi Diwas,IMG_6502.jpg
746,Who is the author of the book 'Godaan'?,Dharmavir Bharati,Munshi Premchand,Sarat Chandra Chattopadhyay,Yashpal,B,Munshi Premchand is the author of 'Godaan'.,Books and Authors,IMG_6502.jpg
747,Who is the author of the book 'Gunahon ka Devta'?,Munshi Premchand,Dharmavir Bharati,Sarat Chandra Chattopadhyay,Yashpal,B,Dharmavir Bharati is the author of 'Gunahon ka Devta'.,Books and Authors,IMG_6502.jpg
748,Who is the author of the book 'Charitraheen'?,Munshi Premchand,Dharmavir Bharati,Sarat Chandra Chattopadhyay,Yashpal,C,Sarat Chandra Chattopadhyay is the author of 'Charitraheen'.,Books and Authors,IMG_6502.jpg
749,Who is the author of the book 'Jhutha Sach'?,Munshi Premchand,Dharmavir Bharati,Sarat Chandra Chattopadhyay,Yashpal,D,Yashpal is the author of 'Jhutha Sach'.,Books and Authors,IMG_6502.jpg
750,Who is the author of the book 'Kamayani'?,Jaishankar Prasad,Mahadevi Verma,Yashpal,Sarat Chandra Chattopadhyay,A,Jaishankar Prasad is the author of 'Kamayani'.,Books and Authors,IMG_6502.jpg
751,Who is the author of the book 'Yama'?,Jaishankar Prasad,Mahadevi Verma,Yashpal,Sarat Chandra Chattopadhyay,B,Mahadevi Verma is the author of 'Yama'.,Books and Authors,IMG_6502.jpg
752,Which of the following is a poem by Suryakant Tripathi 'Nirala'?,Bapu,The Deeds of Krishna,Basant aaya,Trikaal Sandhya,C,'Basant aaya' is a poem by Suryakant Tripathi 'Nirala'.,Hindi Poets and Poems,IMG_6502.jpg
753,Which of the following is a poem by Ramdhari Singh Dinkar?,Bapu,The Deeds of Krishna,Basant aaya,Trikaal Sandhya,A,'Bapu' is a poem by Ramdhari Singh Dinkar.,Hindi Poets and Poems,IMG_6502.jpg
754,Which of the following is a poem by Sant Surdas?,Bapu,The Deeds of Krishna,Basant aaya,Trikaal Sandhya,B,'The Deeds of Krishna' is a poem by Sant Surdas.,Hindi Poets and Poems,IMG_6502.jpg
755,Which of the following is a poem by Bhavani Prasad Mishra?,Bapu,The Deeds of Krishna,Basant aaya,Trikaal Sandhya,D,'Trikaal Sandhya' is a poem by Bhavani Prasad Mishra.,Hindi Poets and Poems,IMG_6502.jpg
756,Which of the following is a poem by Shivmangal Singh Suman?,Bapu,Jeevan ke Gaan,Basant aaya,Trikaal Sandhya,B,'Jeevan ke Gaan' is a poem by Shivmangal Singh Suman.,Hindi Poets and Poems,IMG_6502.jpg
757,Which language is spoken by most people in India?,English,Hindi,Tamil,Bengali,B,Hindi is spoken by most people in India.,General Knowledge,IMG_6502.jpg
758,When is Hindi Day celebrated?,14th August,14th September,15th August,15th September,B,Hindi Day is celebrated on 14th September.,Important Dates,IMG_6502.jpg
759,Which of the following is the first story of Hindi Literature?,Godaan,Idumati,Kamayani,Yama,B,Idumati is the first story of Hindi Literature.,Hindi Literature,IMG_6502.jpg
760,Who was the first winner of the Sahitya Academy Award for Hindi?,Amrita Pritam,Mahadevi Verma,Makhanlal Chaturvedi,Jaishankar Prasad,C,Makhanlal Chaturvedi was the first winner of the Sahitya Academy Award for Hindi.,Awards,IMG_6502.jpg
761,Who was the first woman to receive the Sahitya Academy Award?,Amrita Pritam,Mahadevi Verma,Makhanlal Chaturvedi,Jaishankar Prasad,A,Amrita Pritam was the first woman to receive the Sahitya Academy Award.,Awards,IMG_6502.jpg
762,Which of the following is the first Hindi Newspaper?,Dialogue Moon,Navbharat Time,Idumati,Godaan,B,Navbharat Time is the first Hindi Newspaper.,Newspapers and Magazines,IMG_6502.jpg
763,Which of the following is the first magazine in Hindi?,Dialogue Moon,Navbharat Time,Idumati,Godaan,A,Dialogue Moon is the first magazine in Hindi.,Newspapers and Magazines,IMG_6502.jpg
764,Which country won the ICC Men's Cricket World Cup 2023?,Australia,India,England,New Zealand,A,Australia won the ICC Men's Cricket World Cup 2023.,Cricket,IMG_6536.jpg
765,Who was the first batsman to score a double century in ODIs?,Ricky Ponting,Sachin Tendulkar,Brian Lara,Sanath Jayasuriya,B,Sachin Tendulkar was the first batsman to score a double century in ODIs.,Cricket,IMG_6536.jpg
766,What is the maximum number of overs allowed per bowler in a T20 match?,3,4,5,6,B,The maximum number of overs allowed per bowler in a T20 match is 4.,Cricket,IMG_6536.jpg
767,Where are the headquarters of the International Cricket Council (ICC) located?,"London, UK","Melbourne, Australia","Dubai, UAE","Mumbai, India",C,"The headquarters of the ICC are located in Dubai, UAE.",Cricket,IMG_6536.jpg
768,Which country won the FIFA World Cup 2022?,France,Brazil,Germany,Argentina,D,Argentina won the FIFA World Cup 2022.,Football,IMG_6536.jpg
769,Who has won the most Ballon d'Or awards as of 2023?,Cristiano Ronaldo,Lionel Messi,Michel Platini,Johan Cruyff,B,Lionel Messi has won the most Ballon d'Or awards (8 times as of 2023).,Football,IMG_6536.jpg
770,What does FIFA stand for?,Federation of International Football Associations,Federation Internationale de Football Association,Football International Federation Association,Federation International Football Association,B,FIFA stands for Fédération Internationale de Football Association.,Football,IMG_6536.jpg
771,Which club has won the most UEFA Champions League titles?,FC Barcelona,Manchester United,Real Madrid,AC Milan,C,Real Madrid has won the most UEFA Champions League titles.,Football,IMG_6536.jpg
772,Who is the all-time highest goal scorer in international football?,Pele,Diego Maradona,Cristiano Ronaldo,Ferenc Puskas,C,Cristiano Ronaldo is the all-time highest goal scorer in international football.,Football,IMG_6536.jpg
773,In which year were the first modern Olympic Games held?,1892,1896,1900,1904,B,The first modern Olympic Games were held in 1896.,Olympics,IMG_6536.jpg
774,Who is the most decorated Olympian of all time?,Usain Bolt,Michael Phelps,Larisa Latynina,Paavo Nurmi,B,Michael Phelps is the most decorated Olympian of all time with 28 medals.,Olympics,IMG_6536.jpg
775,Where will the 2028 Summer Olympics be held?,"Paris, France","Tokyo, Japan","Los Angeles, USA","Beijing, China",C,"The 2028 Summer Olympics will be held in Los Angeles, USA.",Olympics,IMG_6536.jpg
776,Which country has won the most Olympic gold medals in history?,China,Russia,United States,Germany,C,The United States has won the most Olympic gold medals in history.,Olympics,IMG_6536.jpg
777,Who was the first Indian to win an individual Olympic gold medal?,Leander Paes,Abhinav Bindra,Karnam Malleswari,Rajyavardhan Singh Rathore,B,Abhinav Bindra was the first Indian to win an individual Olympic gold medal.,Olympics,IMG_6536.jpg
778,What is the surface of the French Open played on?,Grass,Clay,Hard Court,Carpet,B,The French Open is played on clay.,Tennis,IMG_6536.jpg
779,Who was the first Indian to win a Grand Slam title?,Sania Mirza,Rohan Bopanna,Mahesh Bhupathi,Leander Paes,C,Mahesh Bhupathi was the first Indian to win a Grand Slam title.,Tennis,IMG_6536.jpg
780,Which Grand Slam tournament is played on grass courts?,Australian Open,French Open,Wimbledon,US Open,C,Wimbledon is played on grass courts.,Tennis,IMG_6536.jpg
781,What is the national sport of Japan?,Baseball,Sumo Wrestling,Judo,Karate,B,Sumo Wrestling is the national sport of Japan.,General Knowledge,IMG_6536.jpg
782,Who is the fastest man in the world (100m sprint record holder)?,Carl Lewis,Usain Bolt,Maurice Greene,Asafa Powell,B,Usain Bolt is the fastest man in the world (100m sprint record holder).,Athletics,IMG_6536.jpg
783,Which sport is associated with the Ryder Cup?,Tennis,Golf,Polo,Badminton,B,Golf is associated with the Ryder Cup.,Golf,IMG_6536.jpg
784,How many players are there in a standard basketball team?,7,6,5,11,C,There are 5 players in a standard basketball team.,Basketball,IMG_6536.jpg
785,Which country is famous for hosting the Tour de France cycling race?,Spain,Italy,France,Switzerland,C,France is famous for hosting the Tour de France cycling race.,Cycling,IMG_6536.jpg
786,Who is the first cricketer to score 100 international centuries?,Ricky Ponting,Virat Kohli,Brian Lara,Sachin Tendulkar,D,Sachin Tendulkar is the first cricketer to score 100 international centuries.,Cricket,IMG_6536.jpg
787,What is the correct question tag for the sentence 'I am the fastest'?,am I?,aren't I?,is I?,are I?,B,The correct question tag for 'I am' is 'aren't I?',Question Tags,IMG_6495.jpg
788,What is the correct question tag for the sentence 'I am not a singer'?,aren't I?,am I?,is I?,are I?,B,The correct question tag for 'I am not' is 'am I?',Question Tags,IMG_6495.jpg
789,Which of the following sentences is in the active voice?,Stories are written by him.,He writes stories.,Stories were written by him.,Stories will be written by him.,B,Active voice focuses on the subject performing the action.,Active and Passive Voice,IMG_6495.jpg
790,Which of the following sentences is in the passive voice?,He wrote stories.,He will write stories.,Stories were written by him.,He writes stories.,C,Passive voice focuses on the object receiving the action.,Active and Passive Voice,IMG_6495.jpg
791,What is the structure of a passive voice sentence in the simple present tense?,Object + was/were + V3,Object + is/are/am + V3,Object + will/shall + V3,Object + has/have + V3,B,The structure for passive voice in simple present is Object + is/are/am + V3.,Active and Passive Voice,IMG_6495.jpg
792,What is the structure of a passive voice sentence in the simple past tense?,Object + is/are/am + V3,Object + was/were + V3,Object + will/shall + V3,Object + has/have + V3,B,The structure for passive voice in simple past is Object + was/were + V3.,Active and Passive Voice,IMG_6495.jpg
793,What is the structure of a passive voice sentence in the simple future tense?,Object + is/are/am + V3,Object + was/were + V3,Object + will/shall + V3,Object + will/shall + be + V3,C,The structure for passive voice in simple future is Object + will/shall + V3.,Active and Passive Voice,IMG_6495.jpg
794,Which of the following is an example of direct speech?,Tom said that Jerry was running.,"Tom said, ""Jerry is running"".",Tom said Jerry is running.,Tom said Jerry was running.,B,Direct speech uses the exact words of the speaker in quotation marks.,Direct and Indirect Speech,IMG_6495.jpg
795,Which of the following is an example of indirect speech?,"Tom said, ""Jerry is running"".","""Jerry is running.""",Tom said that Jerry was running.,"Tom said, Jerry is running.",C,Indirect speech reports the speech without using the exact words of the speaker.,Direct and Indirect Speech,IMG_6495.jpg
796,The sentence 'They learn English' in passive voice is:,English is learnt by them.,English was learnt by them.,English will be learnt by them.,English is learning by them.,A,The passive form of 'They learn English' is 'English is learnt by them'.,Active and Passive Voice,IMG_6495.jpg
797,The sentence 'She makes a cup of tea' in passive voice is:,A cup of tea was made by her.,A cup of tea is made by her.,A cup of tea will be made by her.,A cup of tea is making by her.,B,The passive form of 'She makes a cup of tea' is 'A cup of tea is made by her'.,Active and Passive Voice,IMG_6495.jpg
798,The sentence 'He played football' in passive voice is:,Football is playing by him.,Football was played by him.,Football will be played by him.,Football is played by him.,B,The passive form of 'He played football' is 'Football was played by him'.,Active and Passive Voice,IMG_6495.jpg
799,The sentence 'She will sing a song' in passive voice is:,A song is sung by her.,A song was sung by her.,A song will be sung by her.,A song is singing by her.,C,The passive form of 'She will sing a song' is 'A song will be sung by her'.,Active and Passive Voice,IMG_6495.jpg
800,The sentence 'We will buy a car' in passive voice is:,A car is bought by us.,A car was bought by us.,A car will be bought by us.,A car is buying by us.,C,The passive form of 'We will buy a car' is 'A car will be bought by us'.,Active and Passive Voice,IMG_6495.jpg
801,Who commissioned the Akbarnama?,Babur,Humayun,Akbar,Jahangir,C,The Akbarnama was commissioned by Akbar himself.,Mughal History,IMG_6524.jpg
802,Who wrote the Akbarnama?,Abul Fazl ibn Mubarak,Akbar,Shah Jahan,Aurangzeb,A,"The Akbarnama was written by Akbar's court historian and biographer, Abu'l-Fazl ibn Mubarak.",Mughal History,IMG_6524.jpg
803,How many volumes does the Akbarnama consist of?,One,Two,Three,Four,C,The Akbarnama consists of three volumes.,Mughal History,IMG_6524.jpg
804,What does the first volume of the Akbarnama describe?,Events of Akbar's reign,Akbar's administration,Akbar's Ancestors,Akbar's religious policies,C,The first volume of the Akbarnama describes Akbar's ancestors.,Mughal History,IMG_6524.jpg
805,What does the second volume of the Akbarnama describe?,Akbar's ancestors,Events of Akbar's reign,Akbar's administration,Akbar's military campaigns,B,The second volume of the Akbarnama describes the events of Akbar's reign.,Mughal History,IMG_6524.jpg
806,What is the third volume of the Akbarnama also known as?,Akbar's Biography,Ain-i-Akbari,Akbar's Administration,Akbar's Religious Views,B,The third volume of the Akbarnama is also known as Ain-i-Akbari.,Mughal History,IMG_6524.jpg
807,What does Sulh-i-Kul mean?,Religious war,Absolute peace or peace for all,Military conquest,Economic prosperity,B,Sulh-i-Kul means absolute peace or peace for all.,Mughal History,IMG_6524.jpg
808,Who devised the policy of Sulh-i-Kul?,Akbar,Abul Fazl,Humayun,Jahangir,B,The policy of Sulh-i-Kul was devised by Abul Fazl.,Mughal History,IMG_6524.jpg
809,Which Mughal ruler implemented the policy of Sulh-i-Kul?,Babur,Humayun,Akbar,Jahangir,C,Akbar implemented the policy of Sulh-i-Kul.,Mughal History,IMG_6524.jpg
810,Which of the following monuments is located in Delhi?,Taj Mahal,Agra Fort,Jama Masjid,Fatehpur Sikri,C,Jama Masjid is located in Delhi.,Mughal Architecture,IMG_6524.jpg
811,Which of the following monuments is located in Agra?,Red Fort,Humayun's Tomb,Taj Mahal,Pari Mahal,C,Taj Mahal is located in Agra.,Mughal Architecture,IMG_6524.jpg
812,In which city is Pari Mahal located?,Delhi,Agra,Srinagar,Fatehpur Sikri,C,Pari Mahal is located in Srinagar.,Mughal Architecture,IMG_6524.jpg
813,In which state is Agra Fort located?,Delhi,Uttar Pradesh,Rajasthan,Punjab,B,Agra Fort is located in Uttar Pradesh.,Mughal Architecture,IMG_6524.jpg
814,Which Mughal ruler reigned from 1556-1605?,Babur,Humayun,Akbar,Jahangir,C,Akbar reigned from 1556-1605.,Mughal History,IMG_6524.jpg
815,How many times does the human heart beat per minute?,52,62,72,82,C,The human heart beats seventy-two times per minute.,Heart,IMG_6505.jpg
816,Approximately how much blood does the heart pump each day?,"1,000 gallons","1,500 gallons","2,000 gallons","2,500 gallons",C,"The heart pumps around 2,000 gallons of blood each day.",Heart,IMG_6505.jpg
817,Where is the human heart situated?,Abdominal cavity,Thoracic cavity,Cranial cavity,Pelvic cavity,B,The human heart is situated in the thoracic cavity.,Heart,IMG_6505.jpg
818,What is the approximate size of an adult heart?,Size of a fist,Size of two fists,Size of two palms clenched together,Size of a tennis ball,C,An adult heart is roughly the size of our two palms clenched together.,Heart,IMG_6505.jpg
819,Which of the following is NOT a main component of blood?,Plasma,Red blood cells,White blood cells,Cartilage,D,"Blood has four main components: plasma, red blood cells, white blood cells, and platelets.",Blood,IMG_6505.jpg
820,What is the function of blood?,Transporting oxygen and nutrients,Forming blood clots,Preventing excess blood loss,All of the above,D,"Blood has many different functions, including transporting oxygen and nutrients, forming blood clots, and preventing excess blood loss.",Blood,IMG_6505.jpg
821,How many lungs are in the human body?,One,Two,Three,Four,B,There are two lungs in the human body.,Lungs,IMG_6505.jpg
822,Where are the lungs located?,Abdominal cavity,Thoracic cavity,Cranial cavity,Pelvic cavity,B,The lungs are located in the thoracic cavity of the chest.,Lungs,IMG_6505.jpg
823,The lungs are critical components of which system?,Digestive system,Respiratory system,Circulatory system,Nervous system,B,Lungs are critical components of the respiratory system.,Lungs,IMG_6505.jpg
824,What structures are contained within the lungs?,Bronchioles,Alveoli,Blood capillaries,All of the above,D,"The lungs contain bronchioles, alveoli, and blood capillaries.",Lungs,IMG_6505.jpg
825,What is the function of alveoli?,Gas exchange,Blood filtration,Nutrient absorption,Waste elimination,A,Alveoli are balloon-like structures that extend the surface area for gas exchange.,Lungs,IMG_6505.jpg
